2023-12-23 14:31:53.2016 | INFO | Physiosoft.Logger.NLogger | Main: Adding Ddatabase Context via 
2023-12-23 14:31:53.2016 | INFO | Physiosoft.Logger.NLogger | Main: Adding Services to the container/builder 
2023-12-23 14:31:53.2644 | INFO | Physiosoft.Logger.NLogger | Main: Building app 
2023-12-23 14:31:53.4438 | INFO | Physiosoft.Logger.NLogger | Main: Starting Application 
2023-12-23 15:17:38.7292 | INFO | Physiosoft.Logger.NLogger | Main: Creating Builder with args 
2023-12-23 15:17:38.9352 | INFO | Physiosoft.Logger.NLogger | Main: Creating connection 
2023-12-23 15:17:38.9820 | INFO | Physiosoft.Logger.NLogger | Main: Adding Authentication Services 
2023-12-23 15:17:39.0182 | INFO | Physiosoft.Logger.NLogger | Main: Adding Ddatabase Context via 
2023-12-23 15:17:39.0182 | INFO | Physiosoft.Logger.NLogger | Main: Adding Services to the container/builder 
2023-12-23 15:17:39.0861 | INFO | Physiosoft.Logger.NLogger | Main: Building app 
2023-12-23 15:17:39.2410 | INFO | Physiosoft.Logger.NLogger | Main: Starting Application 
2023-12-23 15:19:12.1161 | INFO | Physiosoft.Logger.NLogger | Main: Creating Builder with args 
2023-12-23 15:19:12.3409 | INFO | Physiosoft.Logger.NLogger | Main: Creating connection 
2023-12-23 15:19:12.3917 | INFO | Physiosoft.Logger.NLogger | Main: Adding Authentication Services 
2023-12-23 15:19:12.4183 | INFO | Physiosoft.Logger.NLogger | Main: Adding Ddatabase Context via 
2023-12-23 15:19:12.4183 | INFO | Physiosoft.Logger.NLogger | Main: Adding Services to the container/builder 
2023-12-23 15:19:12.4821 | INFO | Physiosoft.Logger.NLogger | Main: Building app 
2023-12-23 15:19:12.6392 | INFO | Physiosoft.Logger.NLogger | Main: Starting Application 
2023-12-23 15:28:41.8507 | INFO | Physiosoft.Logger.NLogger | Main: Creating Builder with args 
2023-12-23 15:28:42.1225 | INFO | Physiosoft.Logger.NLogger | Main: Creating connection 
2023-12-23 15:28:42.1853 | INFO | Physiosoft.Logger.NLogger | Main: Adding Authentication Services 
2023-12-23 15:28:42.2175 | INFO | Physiosoft.Logger.NLogger | Main: Adding Ddatabase Context via 
2023-12-23 15:28:42.2175 | INFO | Physiosoft.Logger.NLogger | Main: Adding Services to the container/builder 
2023-12-23 15:28:42.3062 | INFO | Physiosoft.Logger.NLogger | Main: Building app 
2023-12-23 15:28:42.4637 | INFO | Physiosoft.Logger.NLogger | Main: Starting Application 
2023-12-23 15:30:57.9856 | INFO | Physiosoft.Logger.NLogger | Main: Creating Builder with args 
2023-12-23 15:30:58.2231 | INFO | Physiosoft.Logger.NLogger | Main: Creating connection 
2023-12-23 15:30:58.2825 | INFO | Physiosoft.Logger.NLogger | Main: Adding Authentication Services 
2023-12-23 15:30:58.3164 | INFO | Physiosoft.Logger.NLogger | Main: Adding Ddatabase Context via 
2023-12-23 15:30:58.3165 | INFO | Physiosoft.Logger.NLogger | Main: Adding Services to the container/builder 
2023-12-23 15:30:58.3791 | INFO | Physiosoft.Logger.NLogger | Main: Building app 
2023-12-23 15:30:58.5158 | INFO | Physiosoft.Logger.NLogger | Main: Starting Application 
